Year,Quarter,Sector,ROE
2012,Q1,FINCIAL,
2012,Q1,INDUS,
2012,Q1,PROPCON,
2012,Q1,RESOURC,
2012,Q1,SERVICE,
2012,Q1,TECH,
2012,Q1,AGRI,9.38
2012,Q1,FOOD,24.59
2012,Q1,FASHION,4.79
2012,Q1,HOME,11.82
2012,Q1,PERSON,9.18
2012,Q1,BANK,13.87
2012,Q1,FIN,6.11
2012,Q1,INSUR,0.89
2012,Q1,AUTO,0.84
2012,Q1,IMM,4.85
2012,Q1,PAPER,4.8
2012,Q1,PETRO,9.76
2012,Q1,PKG,13.09
2012,Q1,STEEL,-8.93
2012,Q1,CONMAT,17.19
2012,Q1,PROP,10.03
2012,Q1,PF&REIT,
2012,Q1,CONS,
2012,Q1,ENERG,18.24
2012,Q1,MINE,-6.53
2012,Q1,COMM,22.44
2012,Q1,HELTH,23.44
2012,Q1,MEDIA,21.84
2012,Q1,PROF,-11.12
2012,Q1,TOURISM,2.02
2012,Q1,TRANS,-0.27
2012,Q1,ETRON,3.35
2012,Q1,ICT,29.54
2012,Q1,MAIIND,12.76
2012,Q1,MEDSIZE,12.76
2012,Q3,AGRO,
2012,Q3,CONSUMP,
2012,Q3,FINCIAL,
2012,Q3,INDUS,
2012,Q3,PROPCON,
2012,Q3,RESOURC,
2012,Q3,SERVICE,
2012,Q3,TECH,
2012,Q3,AGRI,6.06
2012,Q3,FOOD,22.33
2012,Q3,FASHION,4.18
2012,Q3,HOME,10.34
2012,Q3,PERSON,9.01
2012,Q3,BANK,15.07
2012,Q3,FIN,5.33
2012,Q3,INSUR,-6.73
2012,Q3,AUTO,6.03
2012,Q3,IMM,7.49
2012,Q3,PAPER,8.29
2012,Q3,PETRO,11.35
2012,Q3,PKG,11.3
2012,Q3,STEEL,-21.56
2012,Q3,CONMAT,11.46
2012,Q3,PROP,12.03
2012,Q3,PF&REIT,
2012,Q3,CONS,
2012,Q3,ENERG,16.89
2012,Q3,MINE,-12.3
2012,Q3,COMM,23.69
2012,Q3,HELTH,23.5
2012,Q3,MEDIA,21.38
2012,Q3,PROF,-9.98
2012,Q3,TOURISM,-0.65
2012,Q3,TRANS,6.56
2012,Q3,ETRON,6.57
2012,Q3,ICT,28.86
2012,Q3,MAIIND,14.48
2012,Q3,MEDSIZE,14.48
2013,Q4,AGRO,
2013,Q4,CONSUMP,
2013,Q4,FINCIAL,
2013,Q4,INDUS,
2013,Q4,PROPCON,
2013,Q4,RESOURC,
2013,Q4,SERVICE,
2013,Q4,TECH,
2013,Q4,AGRI,9.75
2013,Q4,FOOD,10.14
2013,Q4,FASHION,3.43
2013,Q4,HOME,8.36
2013,Q4,PERSON,12.0
2013,Q4,BANK,16.31
2013,Q4,FIN,17.5
2013,Q4,INSUR,15.94
2013,Q4,AUTO,16.41
2013,Q4,IMM,5.14
2013,Q4,PAPER,11.08
2013,Q4,PETRO,12.0
2013,Q4,PKG,3.21
2013,Q4,STEEL,-13.68
2013,Q4,CONMAT,17.67
2013,Q4,PROP,16.25
2013,Q4,PF&REIT,
2013,Q4,CONS,
2013,Q4,ENERG,13.16
2013,Q4,MINE,-31.55
2013,Q4,COMM,21.35
