Month,Sector,PE,ROE
2010-09,PF&REIT,,
2010-09,PKG,13.17,18.46
2010-09,PROF,,-7.11
2010-09,PROP,14.94,12.0
2010-09,PROPCON,,
2010-09,RESOURC,,
2010-09,SERVICE,,
2010-09,STEEL,,
2010-09,TECH,,
2010-09,TOURISM,,-3.76
2010-09,TRANS,11.75,9.89
2010-10,AGRI,8.99,21.27
2010-10,AGRO,,
2010-10,AUTO,27.25,9.61
2010-10,BANK,15.58,12.85
2010-10,COMM,23.01,18.41
2010-10,CONMAT,13.92,19.32
2010-10,CONS,,
2010-10,CONSUMP,,
2010-10,ENERG,13.94,18.28
2010-10,ETRON,9.51,17.65
2010-10,FASHION,9.4,9.32
2010-10,FIN,13.69,10.97
2010-10,FINCIAL,,
2010-10,FOOD,14.25,17.78
2010-10,HELTH,18.33,16.86
2010-10,HOME,14.6,11.23
2010-10,ICT,16.85,15.24
2010-10,IMM,,-9.45
2010-10,INDUS,,
2010-10,INSUR,16.1,16.31
2010-10,MAIIND,,12.65
2010-10,MEDIA,17.49,21.27
2010-10,MEDSIZE,21.71,12.65
2010-10,MINE,10.34,-8.85
2010-10,PAPER,15.61,5.7
2010-10,PERSON,10.08,14.36
2010-10,PETRO,18.1,16.22
2010-10,PF&REIT,,
2010-10,PKG,18.66,26.87
2010-10,PROF,,-11.28
2010-10,PROP,14.24,12.55
2010-10,PROPCON,,
2010-10,RESOURC,,
2010-10,SERVICE,,
2010-10,STEEL,,
2010-10,TECH,,
2010-10,TOURISM,,2.96
2010-10,TRANS,11.95,8.39
2010-11,AGRI,9.52,21.27
2010-11,AGRO,,
2010-11,AUTO,22.29,9.61
2010-11,BANK,14.43,12.85
2010-11,COMM,22.2,18.41
2010-11,CONMAT,14.53,19.32
2010-11,CONS,,
2010-11,CONSUMP,,
2010-11,ENERG,12.94,18.28
2010-11,ETRON,8.47,17.65
2010-11,FASHION,9.07,9.32
2010-11,FIN,11.51,10.97
2010-11,FINCIAL,,
2010-11,FOOD,15.01,17.78
2010-11,HELTH,16.76,16.86
2010-11,HOME,10.52,11.23
2010-11,ICT,15.69,15.24
2010-11,IMM,,-9.45
2010-11,INDUS,,
2010-11,INSUR,14.81,16.31
2010-11,MAIIND,,12.65
2010-11,MEDIA,16.95,21.27
2010-11,MEDSIZE,18.72,12.65
2010-11,MINE,10.68,-8.85
2010-11,PAPER,17.22,5.7
2010-11,PERSON,10.13,14.36
2010-11,PETRO,21.99,16.22
2010-11,PF&REIT,,
2010-11,PKG,16.94,26.87
2010-11,PROF,,-11.28
2010-11,PROP,14.29,12.55
2010-11,PROPCON,,
2010-11,RESOURC,,
2010-11,SERVICE,,
2010-11,STEEL,,
2010-11,TECH,,
2010-11,TOURISM,,2.96
2010-11,TRANS,12.09,8.39
2010-12,AGRI,10.32,21.27
2010-12,AGRO,,
2010-12,AUTO,22.13,9.61
2010-12,BANK,14.99,12.85
2010-12,COMM,22.7,18.41
